id,cafe_id,image_url,main_image
20062,10021,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10021/2.jpg,FALSE
20063,10021,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10021/3.jpg,FALSE
20064,10022,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10022/1.jpg,TRUE
20065,10022,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10022/2.jpg,FALSE
20066,10022,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10022/3.jpg,FALSE
20067,10023,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10023/1.jpg,TRUE
20068,10023,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10023/2.jpg,FALSE
20069,10023,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10023/3.jpg,FALSE
20070,10024,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10024/1.jpg,TRUE
20071,10024,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10024/2.jpg,FALSE
20072,10024,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10024/3.jpg,FALSE
20073,10025,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10025/1.jpg,TRUE
20074,10025,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10025/2.jpg,FALSE
20075,10025,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10025/3.jpg,FALSE
20076,10026,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10026/1.jpg,TRUE
20077,10026,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10026/2.jpg,FALSE
20078,10026,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10026/3.jpg,FALSE
20079,10027,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10027/1.jpg,TRUE
20080,10027,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10027/2.jpg,FALSE
20081,10027,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10027/3.jpg,FALSE
20082,10028,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10028/1.jpg,TRUE
20083,10028,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10028/2.jpg,FALSE
20084,10028,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10028/3.jpg,FALSE
20085,10029,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10029/1.jpg,TRUE
20086,10029,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10029/2.jpg,FALSE
20087,10029,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10029/3.jpg,FALSE
20088,10030,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10030/1.jpg,TRUE
20089,10030,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10030/2.jpg,FALSE
20090,10030,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10030/3.jpg,FALSE
20091,10031,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10031/1.jpg,TRUE
20092,10031,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10031/2.jpg,FALSE
20093,10031,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10031/3.jpg,FALSE
20094,10032,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10032/1.jpg,TRUE
20095,10032,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10032/2.jpg,FALSE
20096,10032,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10032/3.jpg,FALSE
20097,10033,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10033/1.jpg,TRUE
20098,10033,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10033/2.jpg,FALSE
20099,10033,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10033/3.jpg,FALSE
20100,10034,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10034/1.jpg,TRUE
20101,10034,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10034/2.jpg,FALSE
20102,10034,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10034/3.jpg,FALSE
20103,10035,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10035/1.jpg,TRUE
20104,10035,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10035/2.jpg,FALSE
20105,10035,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10035/3.jpg,FALSE
20106,10036,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10036/1.jpg,TRUE
20107,10036,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10036/2.jpg,FALSE
20108,10036,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10036/3.jpg,FALSE
20109,10037,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10037/1.jpg,TRUE
20110,10037,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10037/2.jpg,FALSE
20111,10037,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10037/3.jpg,FALSE
20112,10038,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10038/1.jpg,TRUE
20113,10038,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10038/2.jpg,FALSE
20114,10038,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10038/3.jpg,FALSE
20115,10039,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10039/1.jpg,TRUE
20116,10039,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10039/2.jpg,FALSE
20117,10039,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10039/3.jpg,FALSE
20118,10040,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10040/1.jpg,TRUE
20119,10040,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10040/2.jpg,FALSE
20120,10040,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10040/3.jpg,FALSE
20121,10041,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10041/1.jpg,TRUE
20122,10041,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10041/2.jpg,FALSE
20123,10041,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10041/3.jpg,FALSE
20124,10042,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10042/1.jpg,TRUE
20125,10042,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10042/2.jpg,FALSE
20126,10042,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10042/3.jpg,FALSE
20127,10043,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10043/1.jpg,TRUE
20128,10043,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10043/2.jpg,FALSE
20129,10043,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10043/3.jpg,FALSE
20130,10044,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10044/1.jpg,TRUE
20131,10044,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10044/2.jpg,FALSE
20132,10044,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10044/3.jpg,FALSE
20133,10045,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10045/1.jpg,TRUE
20134,10045,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10045/2.jpg,FALSE
20135,10045,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10045/3.jpg,FALSE
20136,10046,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10046/1.jpg,TRUE
20137,10046,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10046/2.jpg,FALSE
20138,10046,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10046/3.jpg,FALSE
20139,10047,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10047/1.jpg,TRUE
20140,10047,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10047/2.jpg,FALSE
20141,10047,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10047/3.jpg,FALSE
20142,10048,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10048/1.jpg,TRUE
20143,10048,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10048/2.jpg,FALSE
20144,10048,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10048/3.jpg,FALSE
20145,10049,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10049/1.jpg,TRUE
20146,10049,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10049/2.jpg,FALSE
20147,10049,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10049/3.jpg,FALSE
20148,10050,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10050/1.jpg,TRUE
20149,10050,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10050/2.jpg,FALSE
20150,10050,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10050/3.jpg,FALSE
20151,10051,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10051/1.jpg,TRUE
20152,10051,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10051/2.jpg,FALSE
20153,10051,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10051/3.jpg,FALSE
20154,10052,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10052/1.jpg,TRUE
20155,10052,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10052/2.jpg,FALSE
20156,10052,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10052/3.jpg,FALSE
20157,10053,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10053/1.jpg,TRUE
20158,10053,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10053/2.jpg,FALSE
20159,10053,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10053/3.jpg,FALSE
20160,10054,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10054/1.jpg,TRUE
20161,10054,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10054/2.jpg,FALSE
20162,10054,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10054/3.jpg,FALSE
20163,10055,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10055/1.jpg,TRUE
20164,10055,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10055/2.jpg,FALSE
20165,10055,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10055/3.jpg,FALSE
20166,10056,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10056/1.jpg,TRUE
20167,10056,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10056/2.jpg,FALSE
20168,10056,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10056/3.jpg,FALSE
20169,10057,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10057/1.jpg,TRUE
20170,10057,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10057/2.jpg,FALSE
20171,10057,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10057/3.jpg,FALSE
20172,10058,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10058/1.jpg,TRUE
20173,10058,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10058/2.jpg,FALSE
20174,10058,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10058/3.jpg,FALSE
20175,10059,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10059/1.jpg,TRUE
20176,10059,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10059/2.jpg,FALSE
20177,10059,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10059/3.jpg,FALSE
20178,10060,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10060/1.jpg,TRUE
20179,10060,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10060/2.jpg,FALSE
20180,10060,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10060/3.jpg,FALSE
20181,10061,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10061/1.jpg,TRUE
20182,10061,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10061/2.jpg,FALSE
20183,10061,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10061/3.jpg,FALSE
20184,10062,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10062/1.jpg,TRUE
20185,10062,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10062/2.jpg,FALSE
20186,10062,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10062/3.jpg,FALSE
20187,10063,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10063/1.jpg,TRUE
20188,10063,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10063/2.jpg,FALSE
20189,10063,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10063/3.jpg,FALSE
20190,10064,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10064/1.jpg,TRUE
20191,10064,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10064/2.jpg,FALSE
20192,10064,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10064/3.jpg,FALSE
20193,10065,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10065/1.jpg,TRUE
20194,10065,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10065/2.jpg,FALSE
20195,10065,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10065/3.jpg,FALSE
20196,10066,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10066/1.jpg,TRUE
20197,10066,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10066/2.jpg,FALSE
20198,10066,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10066/3.jpg,FALSE
20199,10067,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10067/1.jpg,TRUE
20200,10067,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10067/2.jpg,FALSE
20201,10067,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10067/3.jpg,FALSE
20202,10068,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10068/1.jpg,TRUE
20203,10068,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10068/2.jpg,FALSE
20204,10068,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10068/3.jpg,FALSE
20205,10069,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10069/1.jpg,TRUE
20206,10069,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10069/2.jpg,FALSE
20207,10069,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10069/3.jpg,FALSE
20208,10070,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10070/1.jpg,TRUE
20209,10070,https://semothon-places.s3.ap-northeast-2.amazonaws.com/cafes/10070/2.jpg,FALSE
